time,frame,qua_x,qua_y,qua_z,qua_w,vec_x,vec_y,vec_z
657.7681,128,-0.1284194,-0.1483212,-0.01942864,0.9803733,-0.2858303,0.2575612,0.9230186
657.7964,129,-0.1283872,-0.1482539,-0.01941465,0.980388,-0.2857075,0.257495,0.9230751
657.8237,130,-0.09017064,-0.1317744,-0.01203751,0.9870967,-0.2579773,0.1811868,0.9490095
657.8656,131,-0.07387228,-0.1314931,-0.009826581,0.988512,-0.2585132,0.1486315,0.9545049
657.8937,132,-0.08956057,-0.1689637,-0.01541891,0.9814237,-0.328888,0.1810042,0.9268604
657.9354,133,-0.1220832,-0.1347408,-0.01673085,0.983189,-0.2608662,0.2445704,0.9338812
657.9641,134,-0.1220279,-0.1347375,-0.01672273,0.9831965,-0.2608656,0.2444612,0.93391
657.9927,135,-0.1218862,-0.1321283,-0.01637356,0.983574,-0.2559244,0.244095,0.9353718
658.0331,136,-0.113454,-0.1320257,-0.01521291,0.9846147,-0.256537,0.227434,0.9393948
658.061,137,-0.1134643,-0.1319298,-0.01520304,0.9846265,-0.2563531,0.2274514,0.9394408
658.1028,138,-0.1124205,-0.1301252,-0.01485164,0.9849917,-0.2530051,0.2253317,0.9408581
658.1324,139,-0.1125399,-0.1300798,-0.01486233,0.9849839,-0.2529077,0.2255665,0.9408281
658.1726,140,-0.1141912,-0.1300665,-0.0150818,0.9847922,-0.2527325,0.2288324,0.9400862
658.2017,141,-0.1013011,-0.0861161,-0.008802149,0.9910825,-0.168913,0.2023115,0.9646442
658.228,142,-0.1014725,-0.08622633,-0.008828569,0.9910553,-0.1691184,0.2026522,0.9645367
658.256,143,-0.02021131,0.01271834,0.0002571275,0.9997149,0.02541902,0.04041763,0.9988595
658.2994,144,0.0372647,0.0772602,-0.002889741,0.9963102,0.1537349,-0.07470093,0.9852844
658.3273,145,0.04390467,0.0783134,-0.003452287,0.9959556,0.1556902,-0.08799492,0.9838788
658.3674,146,0.04345671,0.07997814,-0.003490096,0.9958428,0.158988,-0.08711036,0.98343
658.3966,147,0.04351053,0.07988473,-0.003490319,0.9958479,0.1588024,-0.0872174,0.9834505
658.4365,148,0.0263857,-0.04046017,0.001068818,0.9988322,-0.08076943,-0.05279627,0.9953336
658.4653,149,0.02665986,-0.04033262,0.001076522,0.99883,-0.08051347,-0.05334418,0.9953251
658.4941,150,-0.03819925,-0.101756,-0.003910198,0.994068,-0.2020061,0.07674108,0.9763731
658.5345,151,-0.09134824,-0.09500969,-0.008755688,0.9912376,-0.1867547,0.1827594,0.9652573
658.5627,152,-0.09128036,-0.09483352,-0.008732755,0.9912609,-0.1864153,0.1826216,0.965349
658.5915,153,-0.09171154,-0.09393646,-0.008690606,0.991307,-0.1846457,0.1834613,0.9655299
658.6332,154,-0.09213461,-0.09728633,-0.009045376,0.9909413,-0.1911433,0.18436,0.9640931
658.6609,155,-0.09041799,-0.0972041,-0.008867841,0.9911092,-0.1910761,0.1809522,0.9647519
658.7028,156,-0.09052721,-0.09734767,-0.008891886,0.9910849,-0.1913497,0.1811715,0.9646565
658.7307,157,-0.09056579,-0.09730587,-0.008891848,0.9910855,-0.1912663,0.1812473,0.9646588
658.7575,158,-0.09159558,-0.0978618,-0.009045712,0.9909347,-0.1922922,0.1833009,0.9640666
658.8002,159,-0.09133304,-0.09949247,-0.009171369,0.9907954,-0.1954781,0.1828097,0.963519
658.8287,160,-0.09132893,-0.0995526,-0.009176552,0.9907897,-0.1955952,0.1828026,0.9634966
658.8689,161,-0.1319382,-0.1517099,-0.02043804,0.9793665,-0.291766,0.2646331,0.9191529
658.8979,162,-0.1318639,-0.1516056,-0.02041192,0.9793932,-0.2915798,0.2644823,0.9192553
658.9254,163,-0.1319935,-0.1438798,-0.01936766,0.9805617,-0.2770532,0.2644287,0.9237527
658.9676,164,-0.1286255,-0.145991,-0.01914769,0.9807016,-0.2814215,0.2578773,0.9242842
658.9957,165,-0.1287113,-0.1459048,-0.01914911,0.9807031,-0.2812491,0.2580431,0.9242904
659.0369,166,-0.1273496,-0.149583,-0.01943172,0.9803211,-0.2883295,0.2555003,0.922814
659.0647,167,-0.127396,-0.1496045,-0.01944178,0.9803116,-0.2883644,0.2555927,0.9227775
659.0933,168,-0.1270566,-0.149301,-0.01934884,0.9804037,-0.2878338,0.2549111,0.9231316
659.1346,169,-0.1298228,-0.1478101,-0.0195755,0.9802628,-0.2847029,0.2603079,0.9225964
659.1623,170,-0.1298693,-0.1478284,-0.0195851,0.9802536,-0.2847315,0.2604002,0.9225615
659.2051,171,-0.1267611,-0.1500307,-0.01939966,0.9803296,-0.2892408,0.2543564,0.9228448
659.2322,172,-0.1267111,-0.1499636,-0.01938299,0.9803467,-0.2891205,0.2542552,0.9229105
659.2597,173,-0.125999,-0.149999,-0.01927688,0.9804351,-0.2892708,0.2528508,0.9232491
659.3017,174,-0.127925,-0.1499711,-0.01957291,0.9801841,-0.2889909,0.2566508,0.9222877
659.3297,175,-0.1278707,-0.1500895,-0.01958027,0.9801729,-0.2892199,0.2565483,0.9222444
659.3712,176,-0.06412111,0.02617742,0.001682568,0.9975973,0.05201327,0.1280222,0.9904065
659.4179,177,-0.03776731,0.0968606,0.00367812,0.9945744,0.1923923,0.07583732,0.9783833
659.4484,178,-0.03158596,0.1110366,0.003530827,0.993308,0.2203641,0.06353327,0.9733464
659.4769,179,-0.02952829,0.1134129,0.003372144,0.9931033,0.2250622,0.05941418,0.9725312
659.5054,180,-0.0294372,0.1163883,0.003451126,0.9927615,0.2308885,0.05925157,0.9711744
659.534,181,-0.02914705,0.1197003,0.003515714,0.9923759,0.2373704,0.05869132,0.9696446
659.5632,182,-0.02904135,0.1192112,0.003488432,0.992438,0.2364168,0.0584752,0.9698906
659.5916,183,-0.02978913,0.1167505,0.003503441,0.9927083,0.2315896,0.05996189,0.9709639
659.633,184,-0.02866917,0.1228079,0.003549158,0.9920099,0.2434497,0.05775194,0.9681926
659.6613,185,-0.02839888,0.1221046,0.00349523,0.9921047,0.2420826,0.05720289,0.9685679
659.7028,186,-0.03178607,0.1320802,0.004237636,0.9907202,0.2614397,0.06410161,0.9630889
659.7314,187,-0.03113225,0.1309669,0.004114784,0.9908893,0.2592912,0.06277503,0.9637569
659.7588,188,-0.03243325,0.1577979,0.0051857,0.9869251,0.311133,0.06565496,0.9480958
659.8008,189,-0.04788778,0.2409431,0.01190387,0.969284,0.4659446,0.09857003,0.8793063
659.8288,190,-0.04798516,0.2407617,0.0119186,0.9693241,0.4656084,0.09876543,0.8794624
659.8706,191,-0.04903787,0.2448615,0.01240138,0.9682378,0.472952,0.1010339,0.8752763
659.8987,192,-0.04870236,0.245067,0.01232731,0.9682037,0.4733488,0.1003496,0.8751405
659.9263,193,-0.04769684,0.2467758,0.01216177,0.9678217,0.4765098,0.09832654,0.8736534
659.9681,194,-0.05311805,0.249042,0.01368094,0.9669382,0.480163,0.109538,0.8703131
659.9976,195,-0.05319298,0.2497273,0.01374052,0.9667565,0.4813892,0.1097121,0.8696135
660.0399,196,-0.06254523,0.2614496,0.01698003,0.9630389,0.5014482,0.1293458,0.8554645
